NestID,ZoneID,Lat,Long,ExDate,Species,Key,VegPresence,VegType,RootPresence,PlantRoot,Comments,DistBarrier,DistHighWater,TotalDist,LocOnBeach,Divisions,SurfaceDepth,BottomDepth,InternalDepth,CavityWidth,Hatched,Unhatched,Developed_UH,LivePip,DeadPip,Yolkless,EncasedTotal,DevEnc_UH,H_Encased,UH_Encased,InvadedTotal,H_Invaded,UH_Invaded,Live,Dead,Depredated,RootDamageProp,HS,ES,TotalEggs,Notes,
78 1776 CKR CRO,5,27.15,-82.48,9/9/22,Loggerhead,Casey Key,1," -sea oats
 -beach naupaka",1,Sea Oats, -sea oats roots,0.61,21.95,22.56,0.973,U,45,63,18,36,7,7,0.00,0,0,0,12,6,0,12,3,0,3,0,0,88,0.1282,5.98,5.98,117,no separation between encased and invaded hatched and unhatched ,
57 1916 CKR BAB,5,27.15,-82.48,8/3/22,Loggerhead,Casey Key,1," -sea grapes
 -sea purslane",0,,n/a,1.83,8.53,10.36,0.824,U,32,43,11,27,73,6,16.67,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0000,91.25,90.00,80,,
57 1818 CKR KEV,5,27.15,-82.48,8/8/22,Loggerhead,Casey Key,1," -sea purslane
 -sea grapes",1,," -small roots in nest 
(not sure what from)",3.35,7.62,10.97,0.694,U,41,56,15,30,40,9,44.44,0,0,0,30,3,0,30,0,0,0,19,0,0,0.3797,50.63,26.58,79, -unidentified small roots in the nest,
79 2120 CKR NAW,5,27.15,-82.48,8/24/22,Loggerhead,Casey Key,0,n/a,0,,n/a,5.79,12.80,18.59,0.689,U,27,43,16,27,77,5,0.00,1,0,0,0,0,0,0,0,0,0,2,0,0,0.0000,92.77,90.36,83,,
80 2120 CKR NAW,5,27.15,-82.48,8/25/22,Loggerhead,Casey Key,0,n/a,0,,n/a,0.91,18.29,19.20,0.952,U,36,48,12,21,77,6,0.00,2,0,0,0,0,0,0,0,0,0,3,2,0,0.0000,90.59,84.71,85,,
77 1900 CKR AJS,5,27.15,-82.48,9/8/22,Loggerhead,Casey Key,1," -beach purslane
 -sea grape",1,, -unsure of roots in nest,0.91,17.07,17.98,0.949,U,28,41,13,25,1,32,0.00,0,0,0,2,0,0,2,0,0,0,0,0,38,0.0274,1.37,1.37,73,no separation between encased and invaded hatched and unhatched ,
94 1812 CKR CRO,5,27.15,-82.48,9/8/22,Loggerhead,Casey Key,1," -railroad vine
 -sea oats
 -beach purslane",0,,n/a,2.44,17.07,19.51,0.875,U,41,54,13,24,102,9,0.00,2,5,0,0,0,0,0,0,0,0,19,7,13,0.0000,77.86,58.02,131,no separation between encased and invaded hatched and unhatched ,
61 1312 CKR NAW,6,27.14,-82.48,8/9/22,Loggerhead,Casey Key,1," -railroad vine
 -sea oats",1,Railroad Vine," -small roots 
penetrating nest (railroad vine)",6.40,12.49,18.89,0.661,U,28,41,13,20,25,4,0.00,0,0,2,60,1,51,9,0,0,0,0,0,0,0.6742,85.39,85.39,89,n/a,
67 1316 CKR NAW,6,27.14,-82.48,8/15/22,Loggerhead,Casey Key,1," -railroad vine
 -sea oats
 -sea grape
 -beach naupaka",1,Railroad Vine," -railroad vine roots
 -very matted in the bottom",5.79,14.02,19.81,0.708,U,37,45,8,27,29,7,0.00,0,0,0,25,0,8,17,19,12,7,0,0,0,0.5500,61.25,61.25,80,n/a,
45 1708 CKR CRO,6,27.15,-82.48,7/24/22,Loggerhead,Casey Key,1," -railroad vine
 -salt grass or torpedo grass (seashore dropseed)",1,Railroad Vine, -small roots,2.74,12.19,14.94,0.816,U,41,53,13,29,115,6,33.33,0,0,0,2,0,0,2,0,0,0,1,1,0,0.0163,93.50,91.87,123," -live hatchling had a deformed carapace
 -deformation may have occurred due to roots or heat from being stuck in the nest from roots
 -both hatchlings found were stuck in the nest due to the roots",
78 1512 CKR AJS,6,27.15,-82.48,9/9/22,Loggerhead,Casey Key,1," -railroad vine
 -sea oats",1,Railroad Vine, -railroad vine roots,1.52,14.94,16.46,0.908,U,25,37,12,29,0,0,0.00,0,0,0,34,0,0,34,10,0,10,0,0,84,0.3438,0.00,0.00,128,no separation between encased and invaded hatched and unhatched ,
53 1404 CKR RPW,6,27.14,-82.48,7/30/22,Loggerhead,Casey Key,1, -sea oats,1,Sea Oats," -penetration of sea 
oat roots into nest",1.83,15.54,17.37,0.895,U,36,48,13,23,98,2,50.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0000,98.00,97.00,100,,
52 1604 CKR KEV,6,27.15,-82.48,8/4/22,Loggerhead,Casey Key,1," -railroad vine
 -sea oats",1,Sea Oats," -sea oat roots 
penetrating nest",4.57,10.97,15.54,0.706,U,36,53,18,25,53,35,2.86,0,0,0,11,0,0,11,0,0,0,0,1,0,0.1111,53.54,52.53,99,,
67 1600 CKR ZLF,6,27.15,-82.48,8/13/22,Loggerhead,Casey Key,1," -sea oats
 -railroad vine",1,Sea Oats," -railroad vine or sea 
oat roots in nest",0.91,14.33,15.24,0.940,U,46,53,8,30,16,2,0.00,0,0,0,0,0,0,0,0,0,0,8,0,90,0.0000,14.81,7.41,108," -neat depredated twice, lost 90 eggs",
49 1500 CKR RPW,6,27.14,-82.48,7/29/22,Loggerhead,Casey Key,0,n/a,0,,n/a,2.74,14.02,16.76,0.836,U,56,66,10,23,132,5,60.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,96.35,96.35,137,,
61 1316 CKR ZLF,6,27.14,-82.48,8/8/22,Loggerhead,Casey Key,0,n/a,0,,n/a,4.57,11.89,16.46,0.722,U,36,53,18,28,69,21,4.76,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0000,76.67,74.44,90,,
68 1350 CKR PCB,6,27.14,-82.48,8/14/22,Loggerhead,Casey Key,0," -beach purslane
 -crested saltbush
 -sea grape
 -railroad vine",0,,n/a,5.18,14.33,19.51,0.734,U,33,47,14,25,32,55,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,36.78,36.78,87," -4 of the unhatched burst
 -3 green eggs
 -small white worm on one hatched egg",
68 1704 CKR AMS,6,27.15,-82.48,8/15/22,Loggerhead,Casey Key,0," -beach purslane
 -sea grape",0,,n/a,1.22,12.80,14.02,0.913,U,43,54,11,26,59,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,100.00,100.00,59,,
76 815 CKR BAB,7,27.14,-82.47,8/25/22,Loggerhead,Casey Key,1," -sea oats
 -beach purslane",1,Sea Oats, -sea oats roots in nest,0.61,16.15,16.76,0.964,U,34,47,13,20,66,5,0.00,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0000,91.67,90.28,72,,
75 1161 CKR KTN,7,27.14,-82.48,8/24/22,Loggerhead,Casey Key,0,n/a,0,,n/a,8.84,8.23,17.07,0.482,M,40,45,5,24,52,12,16.67,0,11,0,0,0,0,0,0,0,0,0,1,26,0.0000,51.49,50.50,101,,
41 933 CKR CRO,7,27.14,-82.47,7/24/22,Loggerhead,Casey Key,1, -railroad vine,1,Railroad Vine, -large and small roots,1.83,9.75,11.58,0.842,U,50,57,8,29,96,8,37.50,0,1,0,1,0,0,1,0,0,0,0,0,0,0.0094,90.15,90.15,106," -of unhatched eggs, one was pipped 
(egg was broken open but hatchling was not formed fully)",
48 933 CKR CRO,7,27.14,-82.47,7/27/22,Loggerhead,Casey Key,1, -sea oats,1,Sea Oats," -root prenetration
 -criss crossing roots
 create web in nest",1.52,14.02,15.54,0.902,U,32,44,13,28,69,10,30.00,0,1,0,1,0,0,1,0,0,0,0,0,0,0.0123,85.19,85.19,81," -nest was very close to surface, upper eggs were ""cooked""
   -could roots have made it hard to lay and dig deep?",
55 1105 CKR BAB,7,27.14,-82.48,7/31/22,Loggerhead,Casey Key,1," -sea oats
 -christmas cactus
 -salt grass/torpedo grass/seashore dropseed
 -unknown",1,Sea Oats," -penetration of 
sea oat roots into nest 
and through and around 
eggs",-2.44,17.07,14.63,1.167,U,15,36,20,23,65,11,36.36,0,0,1,2,0,0,2,3,0,3,0,0,0,0.0617,80.25,80.25,81," -incredibly shallow nest
 -roots through and around eggs
 -nest completely in the vegetation",
49 945 CKR CR0,7,27.14,-82.48,8/1/22,Loggerhead,Casey Key,0, -sea oats on dune,1,Sea Oats, -sea oats roots,3.35,12.50,15.85,0.788,U,23,50,27,25,76,3,0.00,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0125,95.00,95.00,80," -nest was relatively far from dune, sea oats roots extended into the nest",
54 1011 CKR NAW,7,27.14,-82.48,8/5/22,Loggerhead,Casey Key,1," -sea grapes
 -sea oats",1,Sea Oats, -sea oats roots                                                                                                                                                                                                                                           penetrating nests,1.22,19.51,20.73,0.941,U,37,53,17,30,66,5,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,92.96,92.96,71,,
65 945 CKR CRO,7,27.14,-82.48,8/12/22,Loggerhead,Casey Key,1," -sea oats
 -sea grapes",1,Sea Oats, -large sea oats roots in nest,-7.32,27.13,19.81,1.369,U,25,46,20,23,38,11,54.55,0,3,0,46,1,42,4,0,0,0,0,0,0,0.4694,81.63,81.63,98,,
65 615 CKR CRO,7,27.13,-82.47,8/14/22,Loggerhead,Casey Key,1," -sea oats
 -dune sunflower
 -sea purslane
 -sea grape",1,Sea Oats, -sea oats roots in nest,-0.61,22.56,21.95,1.028,U,31,52,21,25,0,0,0.00,0,0,0,113,0,8,105,0,0,0,6,0,0,1.0000,7.08,1.77,113, -lots of roots in nest; each egg had at least one small root on it,
66 819 CKR CRO,7,27.14,-82.47,8/15/22,Loggerhead,Casey Key,1," -sea oats
 -salt grass
 -beach purslane",1,Sea Oats, -sea oats roots,0.91,16.76,17.68,0.948,U,46,48,2,26,78,1,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,98.73,98.73,79,,
67 709 CKR KEV,7,27.13,-82.47,8/15/22,Loggerhead,Casey Key,1," -sea oats
 -salt grass
 -railroad vine",1,Sea Oats, -sea oats roots,0.91,19.51,20.42,0.955,U,33,46,13,22,79,9,0.00,0,0,0,2,0,0,2,0,0,0,0,0,0,0.0222,87.78,87.78,90,,
65 721 CKR NAW,7,27.13,-82.47,8/16/22,Loggerhead,Caey Key,1," -salt grass
 -sea oats
 -sea grape
 -beach naupaka",1,Sea Oats, -sea oats roots,1.83,17.37,19.20,0.905,U,35,42,7,30,22,22,4.55,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0000,43.14,43.14,51," -nest depredated twice, 7 eggs lost",
74 1011 CKR BAB,7,27.14,-82.48,8/18/22,Loggerhead,Casey Key,1," -sea oats
 -salt grass
 -sea grape
 -railroad vine",1,Sea Oats, -sea oats roots in nest,0.00,17.37,17.37,1.000,U,26,29,3,15,80,1,0.00,0,0,0,1,0,1,0,0,0,0,1,0,0,0.0122,98.78,97.56,82,,
74 945 CKR RPW,7,27.14,-82.48,8/18/22,Loggerhead,Casey Key,1," -sea oats
 -sea purslane",1,Sea Oats, -sea oats roots in nest,1.22,19.51,20.73,0.941,U,38,43,5,19,102,6,0.00,0,7,0,0,0,0,0,0,0,0,2,1,0,0.0000,88.70,86.09,115,,
70 815CKR RPW,7,27.14,-82.47,8/18/22,Loggerhead,Casey Key,1," -sea oats
 -sea purslane
 -salt grass
 -crested saltbrush",1,Sea Oats, -sea oats root in nest,0.91,17.98,18.90,0.952,U,30,45,15,20,80,2,0.00,1,1,0,0,0,0,0,0,0,0,9,0,0,0.0000,95.24,84.52,84,,
73 801 CKR NAW,7,27.13,-82.47,8/18/22,Loggerhead,Casey Key,1," -sea oats
 -railroad vine
 -salt grass",1,Sea Oats, -sea oats root in nest,1.52,15.54,17.07,0.911,U,33,46,13,23,81,8,0.00,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0000,81.82,81.82,99,,
74 805 CKR KEV,7,27.14,-82.47,8/19/22,Loggerhead,Casey Key,1," -sea oats
 -sea purslane
 -salt grass
 -railroad vine",1,Sea Oats, -sea oats root in nest,3.05,15.85,18.90,0.839,U,42,47,5,20,75,17,0.00,0,4,0,0,0,0,0,0,0,0,1,0,0,0.0000,78.13,77.08,96,,
74 703 CKR KEV,7,27.13,-82.47,8/23/22,Loggerhead,Casey Key,1," -railroad vine
 -sea oats
 -crested saltbush",1,Sea Oats, -sea oats roots,3.66,17.07,20.73,0.824,U,42,50,8,24,62,20,0.00,0,2,0,0,0,0,0,0,0,0,2,0,0,0.0000,73.81,71.43,84,,
47 1143 CKR BAB,7,27.14,-82.48,7/27/22,Loggerhead,Casey Key,0,n/a,0,,n/a,5.18,11.58,16.76,0.691,U,44,48,4,25,81,10,30.00,3,0,2,0,0,0,0,0,0,0,2,0,0,0.0000,86.17,84.04,94," -nest on opon beach
 -one deformed hatchling",
54 707 CKR BAB,7,27.13,-82.47,8/2/22,Loggerhead,Casey Key,0,n/a,0,,n/a,4.57,17.07,21.64,0.789,U,30,51,20,20,77,5,60.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,93.90,93.90,82,,
58 941 CKR CRO,7,27.14,-82.48,8/5/22,Loggerhead,Casey Key,0,n/a,0,,n/a,4.27,3.66,7.92,0.462,M,34,50,15,23,107,3,0.00,0,0,0,0,,,,0,0,0,1,0,0,0.0000,97.27,96.36,110, -ghost crab hole ,
66 1161 CKR CRO,7,27.14,-82.48,8/13/22,Loggerhead,Casey Key,0,n/a,0,,n/a,4.27,13.11,17.37,0.754,U,52,65,13,33,117,0,0.00,2,21,0,0,0,0,0,0,0,0,17,5,0,0.0000,83.57,67.86,140,,
68 1001 CKR ZLF,7,27.14,-82.48,8/16/22,Loggerhead,Casey Key,0,n/a,0,,n/a,6.10,10.67,16.76,0.636,M,30,52,22,29,83,2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,97.65,97.65,85,,
67 811 CKR NAW,7,27.14,-82.47,8/16/22,Loggerhead,Casey Key,0,n/a,0,,n/a,7.32,10.97,18.29,0.600,M,32,44,12,32,53,22,9.09,0,1,0,0,0,0,0,0,0,0,2,0,0,0.0000,69.74,67.11,76,,
76 1143 CKR KEC,7,27.14,-82.48,8/19/22,Loggerhead,Casey Key,0,n/a,0,,n/a,4.88,10.67,15.54,0.686,U,32,44,12,19,72,9,0.00,0,9,0,0,0,0,0,0,0,0,9,0,0,0.0000,80.00,70.00,90,,
70 805 CKR KEV,7,27.13,-82.47,8/19/22,Loggerhead,Casey Key,1, -railroad vine,0,,n/a,6.71,11.58,18.29,0.633,M,48,55,7,26,66,7,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,89.19,89.19,74,,
74 1217 CKR NAW,7,27.14,-82.48,8/22/22,Loggerhead,Casey Key,1, -railroad vine,0,,n/a,6.40,13.72,20.12,0.682,U,39,53,14,25,85,25,0.00,0,3,0,0,0,0,0,0,0,0,3,2,0,0.0000,75.22,70.80,113,,
79 1161 CKR ZLF ,7,27.14,-82.48,8/22/22,Loggerhead,Casey Key,1, -railroad vine,0,,n/a,7.62,12.19,19.81,0.615,M,43,49,6,25,94,8,12.50,0,5,0,0,0,0,0,0,0,0,0,1,0,0.0000,87.85,86.92,107,,
71 621 CKR CRO,7,27.13,-82.47,8/22/22,Loggerhead,Casey Key,1, -railroad vine,0,,n/a,5.79,9.45,15.24,0.620,M,43,50,7,23,91,3,0.00,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0000,96.81,95.74,94,,
76 819 CKR NAW,7,27.14,-82.47,8/25/22,Loggerhead,Casey Key,1," -sea oats
 -railroad vine",0,,n/a,2.74,14.94,17.68,0.845,U,30,53,23,22,58,57,1.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000,50.00,50.00,116,,
72 317 CKR NAW,8,27.13,-82.47,8/23/22,Loggerhead,Casey Key,1," -railroad vine
 -sea oats",1,Sea Oats, -sea oats roots in nest,3.05,20.42,23.47,0.870,U,43,46,3,24,78,8,12.50,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0000,88.64,88.64,88,,
76 329 CKR NAW,8,27.13,-82.47,8/23/22,Loggerhead,Casey Key,0,n/a,0,,n/a,13.11,10.67,23.78,0.449,M,30,48,18,18,78,6,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,92.86,92.86,84,,
76 335 CKR BAB,8,27.13,-82.47,8/24/22,Loggerhead,Casey Key,0,n/a,0,,n/a,10.36,12.19,22.55,0.541,M,29,45,16,26,119,2,0.00,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0000,95.97,95.97,124,,
49 417 CKR CRO,8,27.13,-82.47,7/27/22,Loggerhead,Casey Key,1," -railroad vine
 -sea oats
 -crested saltbush",0,,n/a,7.32,15.24,22.56,0.676,U,33,53,20,25,74,11,0.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0000,87.06,85.88,85," -no roots in nest, but near vegetation with shorter roots (beach morning glory)",
50 427 CKR CRO,8,27.13,-82.47,7/29/22,Loggerhead,Casey Key,0,n/a,0,,n/a,15.85,6.10,21.95,0.278,L,37,64,27,28,122,2,0.00,0,1,0,0,0,0,0,0,0,0,1,1,0,0.0000,97.60,96.00,125, -first egg was very far up from the rest of the eggs,
52 209 CKR ZLF,8,27.13,-82.47,7/30/22,Loggerhead,Casey Key,0,n/a,0,,n/a,15.54,9.45,24.99,0.378,M,36,51,15,28,81,3,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,96.43,96.43,84,,
54 521 CKR ZLF,8,27.13,-82.50,8/2/22,Loggerhead,Casey Key,0,n/a,0,,n/a,7.92,13.72,21.64,0.634,M,36,48,13,28,94,6,50.00,1,2,0,0,0,0,0,0,0,0,5,1,0,0.0000,91.26,85.44,103,,
66 521 CKR ZLF,8,27.13,-82.47,8/13/22,Loggerhead,Casey Key,1," -salt grass
 -sea oats
 -railroad vine
 -crested saltbush
 -beach purslane",0,,n/a,4.27,15.85,20.12,0.788,U,36,44,9,23,65,1,0.00,7,7,0,0,0,0,0,0,0,0,10,0,0,0.0000,81.25,68.75,80,,
68 335 CKR ZLF,8,27.13,-82.47,8/13/22,Loggerhead,Casey Key,0,n/a,0,,n/a,5.79,17.07,22.86,0.747,U,33,42,9,27,87,1,0.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0000,98.86,97.73,88,,
71 205 CKR ZLF,8,27.13,-82.47,8/16/22,Loggerhead,Casey Key,0,n/a,0,,n/a,10.67,10.67,21.34,0.500,M,30,49,19,31,108,6,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000,93.91,93.91,115,,
71 433 CKR KTN,8,27.13,-82.47,8/17/22,Loggerhead,Casey Key,0," -salt grass
 -sea oats",0,,n/a,6.10,10.97,17.07,0.643,M,42,49,7,32,86,12,58.33,2,11,0,0,0,0,0,0,0,0,12,3,0,0.0000,77.48,63.96,111,,
73 409 CKR NAW,8,27.13,-82.47,8/18/22,Loggerhead,Casey Key,0,n/a,0,,n/a,7.32,16.76,24.08,0.696,U,36,45,9,20,83,6,0.00,0,5,0,0,0,0,0,0,0,0,0,0,0,0.0000,88.30,88.30,94,,
70 615 CKR KEV,8,27.13,-82.47,8/19/22,Loggerhead,Casey Key,0,n/a,0,,n/a,7.62,12.80,20.42,0.627,M,20,58,38,20,94,5,0.00,1,6,0,0,0,0,0,0,0,0,9,3,0,0.0000,88.68,77.36,106, -eggs spread out,
73 309 CKR NAW,8,27.13,-82.47,8/22/22,Loggerhead,Casey Key,0,n/a,0,,n/a,10.36,16.15,26.52,0.609,M,38,45,7,25,84,11,0.00,1,2,0,0,0,0,0,0,0,0,5,0,0,0.0000,85.71,80.61,98,,
72 217 CKR ZLF,8,27.13,-82.47,8/22/22,Loggerhead,Casey Key,0,n/a,0,,n/a,9.75,13.11,22.86,0.573,M,42,52,10,24,74,8,12.50,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0000,89.16,87.95,83,,
99 2201 CKR CRO,4,27.15,-82.48,9/22/22,Loggerhead,Casey Key,1, -railorad vine,1,Railroad Vine, -railroad vine roots,0.61,16.46,17.07,0.964,U,36,54,18,26,75,1,0.00,0,1,0,3,0,0,3,0,0,0,0,0,0,0.0375,93.75,93.75,80,no separation between encased and invaded hatched and unhatched ,
63 608 SCKR MMS,9,27.12,-82.47,8/9/22,Loggerhead,Casey Key,1, -sea oats,1,Sea Oats, -small roots in nest,-1.83,26.52,24.69,1.074,U,30,43,13,23,75,11,0.00,0,2,0,7,0,0,7,0,0,0,0,0,0,0.0737,78.95,78.95,95, -seaside sandmat nearby,
63 1408 CKR BAB,6,27.14,-82.48,8/12/22,Loggerhead,Casey Key,1, -sea oats,1,Sea Oats, -ses oats roots in nest,2.74,13.41,16.15,0.830,U,50,61,11,22,88,17,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000,83.02,83.02,106,,
66 1001 CKR CRO,7,27.14,-82.48,8/12/22,Loggerhead,Casey Key,1," -sea oats
 -sea grapes
 -railroad vine",1,Sea Oats, -large sea oat root in nest,0.00,16.15,16.15,1.000,U,38,48,10,25,67,2,0.00,0,0,0,20,0,20,0,2,0,2,0,0,0,0.2418,95.60,95.60,91,,
71 2640 CKR KCK,3,27.16,-82.49,8/14/22,Loggerhead,Casey Key,1," -salt grass
 -sea oats
 -railroad vine
 -crested saltbush
 -beach naupaka",1,Sea Oats, -sea oats roots in nest,0.30,15.54,15.84,0.981,U,41,51,10,27,3,0,0.00,0,1,0,82,0,41,41,1,0,1,1,3,36,0.6748,35.77,32.52,123," -deep roots in nest
 -36 eggs depredated",
72 205 CKR NAW,8,27.13,-82.47,8/17/22,Loggerhead,Casey Key,1," -beach purslane
 -crested saltbush
 -sea oats 
 -railroad vine
 -seaside spurge (sandmat)",1,Sea Oats, -sea oats root in nest,-0.61,25.91,25.30,1.024,U,29,33,4,28,71,3,0.00,0,1,0,12,1,10,2,2,0,2,1,0,0,0.1573,91.01,89.89,89, -hatchling stuck in roots,
49 1408 CKR RPW,6,27.14,-82.48,7/31/22,Loggerhead,Casey Key,0,n/a,0,,n/a,3.96,12.80,16.76,0.764,U,41,55,14,27,106,3,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,97.25,97.25,109," -near dune but no vegetation near nest
 -looks like branch in nest ",
55 819 CKR CRO,7,27.14,-82.47,8/1/22,Loggerhead,Casey Key,0,n/a,0,,n/a,6.01,10.67,16.68,0.640,M,41,53,13,25,58,4,75.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0000,93.55,91.94,62,,
55 801 CKR CRO,7,27.13,-82.47,8/1/22,Loggerhead,Casey Key,0,n/a,0,,n/a,6.71,9.14,15.85,0.577,M,47,56,9,33,60,36,38.89,0,2,0,0,0,0,0,0,0,0,0,1,0,0.0000,61.22,60.20,98, -eggs were relatively spread out throughout the nest,
55 945 CKR CRO,7,27.14,-82.48,8/2/22,Loggerhead,Casey Key,0,n/a,0,,n/a,2.74,12.50,15.24,0.820,U,34,53,19,29,73,4,25.00,0,1,0,0,0,0,0,0,0,0,4,2,0,0.0000,93.59,85.90,78,,
57 801 CKR BAB,7,27.13,-82.47,8/4/22,Loggerhead,Casey Key,0,n/a,0,,n/a,8.23,3.35,11.58,0.289,L,41,48,8,23,99,12,33.33,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0000,89.19,88.29,111,,
